source,target
1472558789698019330,1424433180753371139
1472558789698019330,1249343092957655042
1472558789698019330,1477144962286243849
1472558789698019330,1196316777279393792
1472558789698019330,1184475769482825728
1472558789698019330,1344738920
1472558789698019330,1133076940842102784
1472558789698019330,1284839845861273602
1472558789698019330,1497605466968723504
1472558789698019330,1497823537679114241
1472558789698019330,958759926549147649
1472558789698019330,1429603854
1472558789698019330,848901692091506688
1472558789698019330,1317498004199256064
1472558789698019330,1277807884861009921
1472558789698019330,1253945298461708291
1472558789698019330,2228020669
1472558789698019330,1483029280699588608
1472558789698019330,1489178779738013698
1472558789698019330,2872401203
1472558789698019330,1468957860
1472558789698019330,1246014522537603072
1472558789698019330,771622961153396736
1472558789698019330,1004642350553968640
1472558789698019330,746327100257271816
1472558789698019330,3274985820
1472558789698019330,1071853071142141952
1472558789698019330,1287594949228150784
1472558789698019330,1192409641273065473
1472558789698019330,473729548
1472558789698019330,1000797725917499393
1472558789698019330,1247213980797427724
1472558789698019330,1278655748768063490
1472558789698019330,883720758723092480
1472558789698019330,902853369332547585
1472558789698019330,1473893833461043203
1472558789698019330,1249295950549401600
1472558789698019330,705763745079791617
1472558789698019330,1382680394349236228
1472558789698019330,1460180698556297221
1472558789698019330,1475691974845886464
1472558789698019330,3034153315
1472558789698019330,1351451066622119937
1472558789698019330,3220242762
1472558789698019330,1357736121535397888
1472558789698019330,1150712699505897473
1472558789698019330,725384293766291456
1472558789698019330,1355748483127369730
1472558789698019330,850556860411269121
1472558789698019330,1303161128873156608
1472558789698019330,1273713079587463173
1472558789698019330,1280037324504526848
1472558789698019330,1248995104817324034
1472558789698019330,802416910813933568
1472558789698019330,1428587673116037121
1472558789698019330,721713204980817927
1472558789698019330,1277637088842784769
1472558789698019330,2469365941
1472558789698019330,1366336069319335943
1472558789698019330,1098839084162789376
1472558789698019330,780439554784366592
1472558789698019330,860040731674775552
1472558789698019330,1289636412921229312
1472558789698019330,1305910070782251009
1472558789698019330,1471504126890557446
1472558789698019330,1168038336541286400
1472558789698019330,3274572859
1472558789698019330,1403983669908303874
1472558789698019330,1436187424506277898
1424433180753371139,838257713062764546
1424433180753371139,1418346760607395842
1424433180753371139,1495021997335941120
1424433180753371139,1476229302039494656
1424433180753371139,1186051639
1424433180753371139,1483029280699588608
1424433180753371139,1486550015631708163
1424433180753371139,1460180698556297221
1424433180753371139,1382680394349236228
1424433180753371139,1483348255664926722
1424433180753371139,1317394345729814528
1424433180753371139,1447946593982898181
1424433180753371139,1249295950549401600
1424433180753371139,867413056346783744
1424433180753371139,1459026974123323393
1424433180753371139,1469323621877235714
1424433180753371139,807581622333751297
1424433180753371139,1467482813272186886
1424433180753371139,1351364200908484609
1424433180753371139,1460981664243339273
1424433180753371139,1452132662856933377
1424433180753371139,1098839084162789376
1424433180753371139,1452651240727343115
1424433180753371139,1452133867918270466
1424433180753371139,1366711287086940163
1424433180753371139,1442175747376902148
1424433180753371139,1453057754415828996
1424433180753371139,1463396639607963651
1424433180753371139,1463881117958688775
1424433180753371139,1452654083471413257
1424433180753371139,1452654579166826498
1424433180753371139,1463515902440140803
1424433180753371139,1431902298263867395
1424433180753371139,1462838518204403714
1424433180753371139,1388001088192729088
1424433180753371139,1458841535693266955
1424433180753371139,1452653483451027459
1424433180753371139,1417723439339642884
1424433180753371139,1453666489509158916
1424433180753371139,1448170754218991616
1424433180753371139,1429113102805585928
1424433180753371139,1452819166784737290
1424433180753371139,1375865884955320324
1424433180753371139,1282017061573668866
1249343092957655042,1472558789698019330
1249343092957655042,1506922010152411138
1249343092957655042,70380871
1249343092957655042,777066486846205952
1249343092957655042,1113461988368293889
1249343092957655042,860040731674775552
1249343092957655042,1150712699505897473
1249343092957655042,745566943080394752
1249343092957655042,112463649
1249343092957655042,1306594644399026176
1249343092957655042,1399447726874673153
1249343092957655042,1414244325240840201
1249343092957655042,1875367596
1249343092957655042,1475044250706272259
1249343092957655042,1429809889
1249343092957655042,1436187424506277898
1249343092957655042,1141359072706351104
1249343092957655042,1435864839721824257
1249343092957655042,975458476200726529
1249343092957655042,813212621050515456
1249343092957655042,495814751
1249343092957655042,1347343067049816066
1249343092957655042,1388089814382153733
1249343092957655042,1137776145531920384
1249343092957655042,837349562675154944
1249343092957655042,1280319915434618880
1249343092957655042,1112807590751219713
1249343092957655042,4149488473
1249343092957655042,1045747889224515585
1249343092957655042,2368667017
1249343092957655042,916401923208679424
1249343092957655042,1335980611014598662
1249343092957655042,967626627101290497
1249343092957655042,1607597850
1249343092957655042,1282584823056470016
1249343092957655042,13201732
1249343092957655042,871766198664298496
1249343092957655042,984071828548153348
1477144962286243849,1305910070782251009
